,grid_id,x,y,visitors
523,7466,81.0,52.0,80
524,7531,4.0,53.0,5
525,7532,5.0,53.0,3
526,7542,15.0,53.0,11
527,7548,21.0,53.0,1
528,7554,27.0,53.0,1
529,7555,28.0,53.0,12
530,7556,29.0,53.0,2
531,7560,33.0,53.0,4
532,7564,37.0,53.0,2
533,7565,38.0,53.0,15
534,7566,39.0,53.0,2
535,7571,44.0,53.0,6
536,7572,45.0,53.0,4
537,7574,47.0,53.0,14
538,7575,48.0,53.0,3
539,7576,49.0,53.0,8
540,7580,53.0,53.0,11
541,7581,54.0,53.0,6
542,7582,55.0,53.0,4
543,7584,57.0,53.0,3
544,7586,59.0,53.0,2
545,7587,60.0,53.0,1
546,7594,67.0,53.0,5
547,7598,71.0,53.0,23
548,7599,72.0,53.0,2
549,7600,73.0,53.0,4
550,7601,74.0,53.0,5
551,7602,75.0,53.0,16
552,7603,76.0,53.0,33
553,7604,77.0,53.0,39
554,7605,78.0,53.0,27
555,7606,79.0,53.0,88
556,7607,80.0,53.0,30
557,7608,81.0,53.0,48
558,7673,4.0,54.0,3
559,7697,28.0,54.0,2
560,7698,29.0,54.0,1
561,7702,33.0,54.0,2
562,7705,36.0,54.0,9
563,7706,37.0,54.0,1
564,7708,39.0,54.0,9
565,7713,44.0,54.0,7
566,7714,45.0,54.0,4
567,7715,46.0,54.0,7
568,7716,47.0,54.0,25
569,7718,49.0,54.0,14
570,7722,53.0,54.0,7
571,7723,54.0,54.0,31
572,7724,55.0,54.0,1
573,7725,56.0,54.0,4
574,7726,57.0,54.0,10
575,7728,59.0,54.0,5
576,7729,60.0,54.0,8
577,7730,61.0,54.0,3
578,7731,62.0,54.0,14
579,7732,63.0,54.0,3
580,7734,65.0,54.0,78
581,7736,67.0,54.0,3
582,7737,68.0,54.0,1
583,7740,71.0,54.0,14
584,7741,72.0,54.0,8
585,7742,73.0,54.0,9
587,7744,75.0,54.0,4
588,7745,76.0,54.0,5
589,7746,77.0,54.0,16
