,source,target,weight
450,3182,3186,1.0
451,3183,3186,3.0
452,3184,3186,2.0
453,3187,3186,2.0
454,3192,3186,1.0
455,3318,3186,1.0
456,3327,3186,1.0
457,3328,3186,1.0
458,3329,3186,1.0
459,3330,3186,3.0
460,3471,3186,1.0
461,3477,3186,2.0
462,3615,3186,3.0
463,3899,3186,1.0
464,4175,3186,1.0
465,4181,3186,1.0
466,5317,3186,1.0
467,5470,3186,1.0
468,8268,3186,1.0
469,8717,3186,2.0
470,472,4042,1.0
471,3042,4042,1.0
472,472,9888,1.0
473,6750,9888,1.0
474,6752,9888,1.0
475,7179,9888,1.0
476,7457,9888,1.0
477,7604,9888,1.0
478,7605,9888,1.0
479,7748,9888,1.0
480,8170,9888,1.0
481,8601,9888,1.0
482,8878,9888,1.0
483,9018,9888,1.0
484,9451,9888,1.0
485,9586,9888,1.0
486,9594,9888,1.0
487,9713,9888,1.0
488,9728,9888,1.0
489,9731,9888,1.0
490,9736,9888,1.0
491,9739,9888,1.0
492,9745,9888,2.0
493,9746,9888,2.0
494,9747,9888,1.0
495,9875,9888,1.0
496,9876,9888,1.0
497,9880,9888,2.0
498,9887,9888,1.0
499,10024,9888,1.0
500,10029,9888,2.0
501,10030,9888,1.0
502,10031,9888,1.0
503,10032,9888,1.0
504,10034,9888,1.0
505,10137,9888,1.0
506,10138,9888,1.0
507,10162,9888,1.0
508,10166,9888,1.0
509,10175,9888,1.0
510,10181,9888,1.0
511,10298,9888,1.0
512,10303,9888,1.0
513,10305,9888,3.0
514,10312,9888,1.0
515,10443,9888,3.0
516,10455,9888,1.0
517,10460,9888,1.0
518,10581,9888,1.0
519,10583,9888,1.0
520,10593,9888,1.0
521,10595,9888,2.0
522,10609,9888,1.0
523,10852,9888,4.0
524,10889,9888,2.0
525,10892,9888,2.0
526,11013,9888,1.0
527,11021,9888,1.0
528,11029,9888,1.0
529,11157,9888,1.0
530,11162,9888,1.0
531,11163,9888,3.0
532,11283,9888,1.0
533,11284,9888,1.0
534,11295,9888,1.0
535,11298,9888,1.0
536,11305,9888,1.0
537,11430,9888,1.0
538,11715,9888,1.0
539,12023,9888,1.0
540,12449,9888,1.0
541,12827,9888,1.0
542,12874,9888,1.0
543,13302,9888,1.0
544,15256,9888,1.0
545,16091,9888,2.0
546,16991,9888,1.0
547,478,4332,3.0
548,3042,4332,4.0
549,5752,4332,1.0
550,605,465,4.0
551,610,756,2.0
552,1184,756,1.0
553,1750,756,1.0
554,610,2457,1.0
555,610,2895,1.0
556,3042,2895,2.0
557,614,611,2.0
558,1050,611,1.0
559,620,2757,1.0
560,1894,2757,2.0
561,2760,2757,1.0
562,620,4325,1.0
563,6606,4325,3.0
564,620,4467,1.0
565,620,4891,1.0
566,4746,4891,3.0
567,5315,4891,4.0
568,5317,4891,2.0
569,6739,4891,1.0
570,748,176,1.0
571,748,755,1.0
572,756,1750,2.0
573,757,1885,1.0
574,1743,1885,1.0
575,757,2616,1.0
576,2173,2616,1.0
577,3042,2616,1.0
578,3190,2616,2.0
579,4181,2616,2.0
580,6605,2616,1.0
581,757,2901,1.0
582,2045,2901,1.0
583,2461,2901,1.0
584,2758,2901,1.0
585,2759,2901,1.0
586,2900,2901,1.0
587,2902,2901,2.0
588,2903,2901,2.0
589,3042,2901,5.0
590,3186,2901,1.0
591,3187,2901,1.0
592,3599,2901,1.0
593,4882,2901,1.0
594,758,1041,2.0
595,1184,1041,1.0
596,2762,1041,1.0
597,759,9592,1.0
598,6182,9592,1.0
599,7574,9592,1.0
600,7606,9592,3.0
601,7716,9592,1.0
602,8024,9592,1.0
603,8031,9592,2.0
604,8313,9592,1.0
605,8592,9592,1.0
606,8595,9592,1.0
607,8877,9592,1.0
608,9009,9592,1.0
609,9020,9592,1.0
610,9021,9592,1.0
611,9024,9592,2.0
612,9160,9592,1.0
613,9162,9592,5.0
614,9164,9592,1.0
615,9165,9592,1.0
616,9166,9592,1.0
617,9173,9592,1.0
618,9175,9592,1.0
619,9444,9592,1.0
620,9450,9592,2.0
621,9451,9592,1.0
622,9452,9592,1.0
623,9587,9592,1.0
624,9590,9592,1.0
625,9593,9592,1.0
626,9594,9592,1.0
627,9602,9592,1.0
628,9604,9592,1.0
629,9605,9592,1.0
630,9719,9592,2.0
631,9729,9592,1.0
632,9734,9592,1.0
633,9735,9592,3.0
634,9739,9592,1.0
635,9740,9592,2.0
636,9864,9592,1.0
637,10012,9592,1.0
638,10023,9592,1.0
639,10029,9592,3.0
640,10157,9592,2.0
641,10306,9592,1.0
642,10309,9592,1.0
643,10569,9592,1.0
644,10869,9592,2.0
645,10995,9592,1.0
646,11019,9592,1.0
647,11036,9592,1.0
648,11147,9592,1.0
649,12581,9592,1.0
650,12851,9592,1.0
651,1037,328,1.0
652,2173,328,1.0
653,3339,328,1.0
654,5718,328,1.0
655,1037,8025,1.0
656,3168,8025,1.0
657,6895,8025,1.0
658,7150,8025,2.0
659,7603,8025,1.0
660,7740,8025,1.0
661,7741,8025,1.0
662,7748,8025,1.0
663,8007,8025,1.0
664,8023,8025,1.0
665,8024,8025,1.0
666,8313,8025,1.0
667,8452,8025,1.0
668,8453,8025,3.0
669,8553,8025,1.0
670,8598,8025,1.0
671,10455,8025,1.0
672,11290,8025,1.0
673,1041,1184,2.0
674,1041,2762,1.0
675,3182,2762,1.0
676,3184,2762,1.0
677,3594,2762,1.0
678,9428,2762,1.0
679,1043,3038,1.0
680,2758,3038,1.0
681,3042,3038,1.0
682,3318,3038,1.0
683,3899,3038,1.0
684,5459,3038,1.0
685,1050,759,1.0
686,3042,759,1.0
687,1318,10441,1.0
688,7734,10441,1.0
689,9871,10441,1.0
690,9886,10441,4.0
691,10442,10441,5.0
692,10443,10441,1.0
693,10866,10441,2.0
694,11015,10441,1.0
695,11146,10441,1.0
696,11172,10441,1.0
697,1330,7038,1.0
698,8455,7038,1.0
699,9012,7038,1.0
700,1336,338,1.0
701,5577,338,1.0
702,8416,338,2.0
703,8696,338,1.0
704,8983,338,1.0
705,1336,2473,1.0
706,4318,2473,1.0
707,1336,2903,1.0
708,2461,2903,1.0
709,2761,2903,1.0
710,2901,2903,1.0
711,2902,2903,1.0
712,2907,2903,1.0
713,3042,2903,3.0
714,3044,2903,3.0
715,3180,2903,1.0
716,3186,2903,4.0
717,3187,2903,1.0
718,3327,2903,2.0
719,8126,2903,1.0
720,1336,3191,1.0
721,2616,3191,2.0
722,3042,3191,2.0
723,3189,3191,1.0
724,3192,3191,2.0
725,3334,3191,2.0
726,3477,3191,1.0
727,6607,3191,1.0
728,1336,9021,1.0
729,2903,9021,1.0
730,6898,9021,1.0
731,8168,9021,1.0
732,8878,9021,2.0
733,9012,9021,1.0
734,9018,9021,1.0
735,9019,9021,3.0
736,9020,9021,3.0
737,9024,9021,2.0
738,9160,9021,1.0
739,9161,9021,1.0
740,9162,9021,1.0
741,9167,9021,1.0
742,9382,9021,1.0
743,9444,9021,1.0
744,9452,9021,1.0
745,9587,9021,1.0
746,9592,9021,1.0
747,9731,9021,2.0
748,9736,9021,1.0
749,10433,9021,1.0
750,10566,9021,1.0
751,10804,9021,1.0
752,10990,9021,1.0
753,11306,9021,1.0
754,11417,9021,1.0
755,11422,9021,1.0
756,11864,9021,1.0
757,12262,9021,1.0
758,12408,9021,1.0
759,12569,9021,1.0
760,14143,9021,1.0
761,14437,9021,1.0
762,17154,9021,1.0
763,1474,2760,1.0
764,2903,2760,1.0
765,3192,2760,1.0
